Issues,Category
"I would like to bring to your attention an issue I faced regarding the assigned topics for today's class.
I was assigned two topics:
Introduction to HTML5 – This topic consists of 63 slides and 3 classroom quizzes. Each quiz has 6 questions. There are around 117 students in one class, and each quiz takes approximately 6 minutes to complete because all students needs to join to quiz through code displayed and answer for each quiz . Additionally, attendance was also taken during the class, which further consumed time. Due to this, I was only able to cover this topic and could not complete the second topic.
HTML Semantic Elements – This topic consists of 70 slides and 2 classroom quizzes.
Together, both topics amount to around 133 slides and 5 quizzes, which is difficult to cover within the available 60 minutes, especially considering that attendance needs to be taken in both the morning and afternoon sessions.
I wanted to inform you that it is difficult  to complete both topics within the 60 minutes.
 
Thank you for your understanding.
 ",Session timing issues
Power Issues,Facilities
Projector Issues,Facilities
WIFI  speed issue,Facilities
Some slides were left and will be finished in next session,Session handling issues
"Due to my involvement in conducting a  KT session on the Gemini student offer during that session , I was unable to take the class for afternoon session.",Session handling issues
"As I was facing an internet issue, I recorded the session, but it got stopped and it didn't get uploaded.",Facilities
"For the third session, the Auto submission didn't work even after multiple attempts",Platform issues
The class does not have curtains very difficult to see the screen too much reflection. The instructor platform closed so recording got deleted.,Facilities
Unable to take the class because of no internet and remote location personal network is also not working for both students and faculties.,Facilities
"I noticed my QA score was lower due to repeating previously covered topics. However, I repeat certain concepts to help students better understand, especially when the slides don't fully cover their doubts.

If I skip these, students struggle to follow the session. I request clarification on how to balance QA expectations with effective teaching.",Tech QA report issue
Nothing just power on the AC students are complaining,Facilities
"Because of an internet issue, I couldn't take the Intro to Bootcamp class.",Facilities
"Because of wifi issue, theory class was incomplete and almost all students were facing the wifi issue, because of which mcq +coding was not able to the conducted solved few doubts whose net was working (conditional statement - section 3- 10:30 - 11:30, 17 sept 2025) ",Facilities
No internet and ac,Facilities
Class was not conducted due to unavailability of internet,Facilities
"first, it failed to upload the recording and then i uploading the downloaded recording, but i am not getting the QA report for that session",Platform issues
"the recording stopped by its own in staring 10 minutes and QA report also generated for those 10 minutes recording, because of that i am not able to upload my backup recording that i have done in phone",Facilities
Mic issues and the session report says transcription in process and is stuck on that.,Facilities
Please don't unlock the content which is not discussed in the classroom. ,Student portal
"90% students did not attempt module quiz, only because of internet issue.",Facilities
"today i got assigned 6 sub sub part topic form 10:00-11:00 morning for 10 , 10, 10 ,10, 10, 10 minutes  , how can i do that in 60 minutes class here i have to do grooming check for each recoding  and i have to upload the audio were for uploading for each audio it will take 2-3 minutes i have to do this 6 times for each subtopic , along with teaching , practically it difficult to do that  .
 
note : content of all sub topic from 10:00-11:00 we can cover in 1 hour  no problem in that , here the problem is recording 6 time , grooming checking 6 times in front of students , and uploading audio 6 times with covering all the content ",Tech QA report issue
The audio is downloading but its not auto submitting.,Platform issues
It is taking a lot of time to reflect in the dashboard after i have generated the report.,Platform issues
"
1) Student asked the question, So I went to another question , How come I didnt wait!
2) Red Flags is Zero, but still the ratio is 3.8/ 4.0 how come it is!!!!
3) In the slides itself it as the copy and paste the content, and get the prompt. Then What can I say for this!!!
4) I will strictly align my teaching flow with the PPT slides and lesson plan to maintain consistency.I will reintroduce the skipped examples (Swiggy, Amazon, BookMyShow) in the next session to ensure learners gain complete coverage.I will also refine my terminology usage (e.g., correctly referring to “Gamma”) and improve the clarity of explanations such as “agent mode” in GPT.I sincerely appreciate the feedback, as it helps me align better with expectations and improve the learner experience.
5) Thank you for the detailed feedback. I would like to provide some clarification regarding the coverage and sequence:The PPT slides for this session were shared only yesterday, which created a gap between the topics I had initially prepared and the updated slide content. As a result, I focused on tools like Gamma, Code2Tutorial, and Otter AI to demonstrate real-world applications of Generative AI, which unfortunately deviated from the exact sequence of the slides.Due to this misalignment, examples related to Swiggy, Amazon, and BookMyShow were not covered in detail. I acknowledge this as a gap and will ensure these business use cases are prioritized in the upcoming sessions",Tech QA report issue
In exam how student interaction possible,Tech QA report issue
,
Issues,Category
"Please add the today sessions in the instructor platform, as they are currently not available.",Platform issues
i did'nt got the link of the session,Platform issues
internet issue,Facilities
Unable to take classes because of internet isue/,Facilities
middle of the class faclities team came to solve the problem with mic and tv that time i have asked to give me ur number,Facilities
gave food related example inorder to explain website example,Tech QA report issue
In exam how student interaction possible . Also Internet Issue,Tech QA report issue
recording Auto stopped after 30 minutes,Platform issues
"The recording when we get stopped it should get downloaded, but my recording is not yet downloaded , If it is downloaded then I will start evaluating the report",Platform issues
